Season,RANK,NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE
2014 - 2015,1,Shea Weber,NSH,D,"$14,000,000 ",1 (2014),"$14,000,000 "
2014 - 2015,2,Corey Perry,ANA,F,"$9,000,000 ",1 (2014),"$9,000,000 "
2014 - 2015,3,Patrice Bergeron,BOS,C,"$8,750,000 ",1 (2014),"$8,750,000 "
2014 - 2015,3,Ryan Getzlaf,ANA,C,"$8,750,000 ",1 (2014),"$8,750,000 "
2014 - 2015,5,Tuukka Rask,BOS,G,"$7,500,000 ",1 (2014),"$7,500,000 "
2014 - 2015,6,Tyler Ennis,BUF,C,"$7,300,000 ",1 (2014),"$7,300,000 "
2014 - 2015,7,Zdeno Chara,BOS,D,"$7,000,000 ",1 (2014),"$7,000,000 "
2014 - 2015,8,Matt Moulson,BUF,LW,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,8,Mike Smith,ARI,G,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,8,Milan Lucic,BOS,LW,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,11,Keith Yandle,ARI,D,"$5,500,000 ",1 (2014),"$5,500,000 "
2014 - 2015,11,Keith Yandle,NYR,D,"$5,500,000 ",1 (2014),"$5,500,000 "
2014 - 2015,13,Brian Gionta,BUF,RW,"$5,250,000 ",1 (2014),"$5,250,000 "
2014 - 2015,13,David Krejci,BOS,C,"$5,250,000 ",1 (2014),"$5,250,000 "
2014 - 2015,15,Shane Doan,ARI,RW,"$5,050,000 ",1 (2014),"$5,050,000 "
2014 - 2015,16,Ryan Kesler,ANA,C,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,16,Sam Gagner,ARI,C,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,16,Tyler Myers,WPG,D,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,19,Brad Marchand,BOS,LW,"$4,500,000 ",1 (2014),"$4,500,000 "
2014 - 2015,19,Loui Eriksson,BOS,RW,"$4,500,000 ",1 (2014),"$4,500,000 "
2014 - 2015,21,Chris Stewart,BUF,RW,"$4,200,000 ",1 (2014),"$4,200,000 "
2014 - 2015,21,Chris Stewart,MIN,RW,"$4,200,000 ",1 (2014),"$4,200,000 "
2014 - 2015,23,Andrej Meszaros,BUF,D,"$4,125,000 ",1 (2014),"$4,125,000 "
