"","id","created_at","updated_at","active","bats","birth_date","captain","city","country","draft_overall_pick","draft_round","draft_season","draft_team_name","first_name","handedness","height","high_school","humanized_salary","last_name","mlbam_id","name","nickname","position_abbreviation","position_name","pro_debut","salary","salary_currency","school","slug","sport","state","uniform_number","unit_of_height","unit_of_weight","weight","years_of_experience","league_id","playing_position_id","team_id"
"1","8da9d03e-ecef-431a-aa5d-7d5ea8a49d18","2016-10-12T19:13:33-04:00","2016-10-19T12:59:16-04:00",TRUE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Mikkel","unknown",NA,NA,"0","Aagaard",NA,"Mikkel Aagaard",NA,"NA","NA",NA,NA,"USD",NA,"nhl-mikkel-aagaard","hockey","","0","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"926ad5ca-c17f-4b20-8b72-9043b6066bc9"
"2","c9d01627-0a3f-4fba-84e9-25916c943e9a","2016-01-06T03:44:07-05:00","2017-01-06T04:42:06-05:00",TRUE,"bats_unknown","1988-04-30","N","Hamilton","",NA,NA,NA,NA,"Spencer","unknown",69,NA,"575,000","Abbott",NA,"Spencer Abbott",NA,"LW","Left Wing",NA,575000,"USD","Maine","nhl-spencer-abbott","hockey","","24","inches","pounds",170,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","a345b10e-87b5-4635-bf24-fd6be058346f"
"3","8167f5aa-317e-4ef8-a407-c098e1a72e1c","2016-01-06T01:32:11-05:00","2017-05-08T13:17:23-04:00",TRUE,"bats_unknown","1987-02-25","A","Muskegon","USA",42,2,"2005","Detroit","Justin","unknown",74,NA,"2,250,000","Abdelkader",NA,"Justin Abdelkader","Justin","LW","Left Wing",NA,2250000,"USD","Michigan State","nhl-justin-abdelkader","hockey","MI","8","inches","pounds",218,8,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","c2a7d98a-fa2c-446e-9682-a8949854023e"
"4","a3f2613a-28c9-456c-892e-1e517443ec70","2016-01-06T03:18:02-05:00","2016-04-03T02:32:44-04:00",FALSE,"bats_unknown","1992-09-02",NA,"Bad Tolz","DEU",163,6,"2010","San Jose","Konrad","left",77,NA,"0","Abeltshauser",NA,"Konrad Abeltshauser",NA,"D","Defense",NA,0,"USD",NA,"nhl-konrad-abeltshauser","hockey",NA,"51","inches","pounds",225,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","4ca89483-65ae-484d-bda9-eacba9ff4915"
"5","5164c790-11ac-4cc0-84d4-054685e37bd5","2016-01-06T01:53:19-05:00","2017-05-08T13:17:20-04:00",TRUE,"bats_unknown","1993-09-23","N","Stockholm","SWE",37,2,"2012","Nashville","Pontus","unknown",71,NA,"807,500","Aberg",NA,"Pontus Aberg","Pontus","LW","Left Wing",NA,807500,"USD",NA,"nhl-pontus-aberg","hockey","","46","inches","pounds",189,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","098b2599-0a70-47af-b38e-0e4e7a0acace"
"6","839eaf24-49c0-462e-96aa-0a6d3ccf3443","2016-10-12T19:17:32-04:00","2016-10-19T12:52:41-04:00",FALSE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Rodrigo","unknown",NA,NA,"0","Abols",NA,"Rodrigo Abols",NA,"F","F",NA,NA,"USD",NA,"nhl-rodrigo-abols","hockey","","49","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"b6bc24e7-bd37-461e-a7b2-af79f68b2438"
"7","8c5adcaf-b285-4034-b8a3-75fa7b258c4b","2016-10-12T19:12:34-04:00","2017-04-18T19:42:15-04:00",TRUE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Vitaly","unknown",NA,NA,"0","Abramov",NA,"Vitaly Abramov","Vitaly","F","F",NA,NA,"USD",NA,"nhl-vitaly-abramov","hockey","","18","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"54410a6b-c9e0-443e-a4cf-b3e22f2cbb75"
"8","b7a43a75-6755-495b-8508-59610c46f4b5","2016-01-06T01:55:20-05:00","2017-05-08T13:17:25-04:00",TRUE,"bats_unknown","1991-12-01","N","Johnston","USA",NA,NA,NA,NA,"Noel","unknown",70,NA,"792,500","Acciari",NA,"Noel Acciari","Noel","C","Center",NA,792500,"USD","Providence","nhl-noel-acciari","hockey","RI","55","inches","pounds",208,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb"
"9","52dce391-3ee5-42c6-a358-c43bc9a55874","2016-01-06T01:53:22-05:00","2016-04-03T02:31:57-04:00",FALSE,"bats_unknown","1990-11-28",NA,"Hayward","USA",NA,NA,NA,NA,"Sena","right",72,NA,"575,000","Acolatse",NA,"Sena Acolatse",NA,"D","Defense",NA,575000,"USD",NA,"nhl-sena-acolatse","hockey","California","47","inches","pounds",210,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc"
"10","6e557745-2db5-415a-94c4-fa021bff94b4","2017-03-07T09:39:45-05:00","2017-03-07T09:39:45-05:00",FALSE,"bats_unknown",NA,NA,NA,"",NA,NA,NA,NA,"Will","unknown",NA,NA,"0","Acton",NA,"Will Acton","Will","F","F",NA,NA,"USD",NA,"nhl-will-acton","hockey","","41","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"10c78613-f4e5-4ebf-a259-e3643aa3785a"
